DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
06/14/2010;00:00:01;270750;91.7;91.57;91.37;92.12
06/15/2010;00:00:01;291795;91.57;91.49;91.03;91.7
06/16/2010;00:00:01;264358;91.49;91.32;91.07;91.83
06/17/2010;00:00:01;296464;91.33;90.87;90.48;91.43
06/18/2010;00:00:01;233350;90.86;90.68;90.4;90.96
06/21/2010;00:00:01;132885;90.47;91.02;90.29;91.47
06/22/2010;00:00:01;130255;91.02;90.43;90.28;91.1
06/23/2010;00:00:01;95204;90.37;89.89;89.71;109.05
06/24/2010;00:00:01;226247;89.94;89.56;89.18;89.98
06/25/2010;00:00:01;239832;89.56;89.25;89.09;89.78
06/28/2010;00:00:01;169746;89.29;89.37;89.01;89.47
06/29/2010;00:00:01;250625;89.37;88.58;88.24;89.43
06/30/2010;00:00:01;226452;88.58;88.51;88.31;88.77
07/01/2010;00:00:01;229529;88.51;87.74;86.94;88.53
07/02/2010;00:00:01;165361;87.74;87.75;87.3;88.23
07/05/2010;00:00:01;138372;87.7;87.51;87.4;88.01
07/06/2010;00:00:01;211521;87.51;87.65;87.29;87.99
07/07/2010;00:00:01;233219;87.65;87.82;86.97;87.85
07/08/2010;00:00:01;266915;87.82;88.47;87.75;88.65
07/09/2010;00:00:01;183648;88.51;88.56;88.31;88.71
07/12/2010;00:00:01;205833;88.61;88.74;88.34;89.16
07/13/2010;00:00:01;226736;88.74;88.81;87.97;88.87
07/14/2010;00:00:01;222357;88.8;88.3;88.04;89.12
07/15/2010;00:00:01;250712;88.29;87.42;87.19;88.41
07/16/2010;00:00:01;206994;87.42;86.55;86.24;87.51
07/19/2010;00:00:01;214263;86.55;86.75;86.43;87.23
07/20/2010;00:00:01;225983;86.75;87.41;86.69;87.58
07/21/2010;00:00:01;195763;87.41;86.84;86.75;87.44
07/22/2010;00:00:01;213336;86.84;87.21;86.29;87.24
07/23/2010;00:00:01;228368;87.21;87.41;86.69;87.53
07/26/2010;00:00:01;215842;87.46;86.86;86.77;87.72
07/27/2010;00:00:01;207424;86.86;87.77;86.78;87.98
07/28/2010;00:00:01;235657;87.76;87.43;87.22;88.12
07/29/2010;00:00:01;223607;87.43;86.75;86.52;87.46
07/30/2010;00:00:01;233008;86.75;86.46;85.92;86.82
08/02/2010;00:00:01;170477;86.41;86.53;86.29;86.89
08/03/2010;00:00:01;171999;86.53;85.87;85.64;86.61
08/04/2010;00:00:01;205743;85.87;86.32;85.27;86.41
08/05/2010;00:00:01;188961;86.32;85.81;85.67;86.46
08/06/2010;00:00:01;168133;85.81;85.52;84.98;86.2
08/09/2010;00:00:01;172881;85.47;85.92;85.25;86.06
08/10/2010;00:00:01;204799;85.92;85.31;85.14;86.24
08/11/2010;00:00:01;231118;85.31;85.12;84.7;85.47
08/12/2010;00:00:01;236903;85.12;86.15;84.89;86.19
08/13/2010;00:00:01;155896;86.15;86.18;85.53;86.38
08/16/2010;00:00:01;194800;86.17;85.18;85.06;86.24
08/17/2010;00:00:01;199246;85.19;85.6;85.15;85.69
08/18/2010;00:00:01;179163;85.6;85.46;85.14;85.61
08/19/2010;00:00:01;213029;85.46;85.2;84.86;85.93
08/20/2010;00:00:01;171631;85.2;85.56;85.14;85.83
08/23/2010;00:00:01;223987;85.57;85.08;85.02;85.72
08/24/2010;00:00:01;314742;85.07;84.17;83.57;85.16
08/25/2010;00:00:01;299119;84.18;84.77;84.03;84.84
08/26/2010;00:00:01;259359;84.78;84.31;84.22;84.89
08/27/2010;00:00:01;283543;84.31;85.21;84.23;85.46
08/30/2010;00:00:01;221568;85.26;84.58;84.44;85.91
08/31/2010;00:00:01;283253;84.58;84.13;83.78;84.67
09/01/2010;00:00:01;285952;84.12;84.51;83.65;84.67
09/02/2010;00:00:01;241743;84.51;84.36;83.96;84.57
09/03/2010;00:00:01;223657;84.35;84.34;84.12;85.23
09/06/2010;00:00:01;169067;84.29;84.16;84;84.5
09/07/2010;00:00:01;263794;84.16;83.74;83.49;84.27
09/08/2010;00:00:01;272854;83.74;83.99;83.3;84.05
09/09/2010;00:00:01;263806;83.99;83.9;83.44;84.03
09/10/2010;00:00:01;248112;83.87;84.16;83.7;84.39
09/13/2010;00:00:01;283467;84.21;83.6;83.45;84.37
09/14/2010;00:00:01;320442;83.6;83.05;82.88;83.72
09/15/2010;00:00:01;443695;83.07;85.6;82.82;85.78
09/16/2010;00:00:01;293582;85.6;85.81;85.19;85.94
09/17/2010;00:00:01;255074;85.81;85.82;85.56;85.94
09/20/2010;00:00:01;167599;85.77;85.71;85.47;85.81
09/21/2010;00:00:01;274285;85.71;84.98;84.91;85.73
09/22/2010;00:00:01;320789;84.98;84.58;84.24;85.01
09/23/2010;00:00:01;258574;84.58;84.55;84.21;84.68
09/24/2010;00:00:01;308232;84.55;84.2;84.08;85.4
09/27/2010;00:00:01;249341;84.22;84.26;84.06;84.4
09/28/2010;00:00:01;277963;84.26;83.93;83.66;84.35
09/29/2010;00:00:01;270333;83.93;83.75;83.45;84.09
09/30/2010;00:00:01;319680;83.76;83.5;83.12;83.81
10/01/2010;00:00:01;260521;83.5;83.3;83.11;83.57
10/04/2010;00:00:01;293169;83.25;83.58;83.14;83.88
10/05/2010;00:00:01;344348;83.58;83.16;82.93;83.99
10/06/2010;00:00:01;299923;83.15;82.97;82.7;83.25
10/07/2010;00:00:01;303145;82.97;82.35;82.08;83.04
10/08/2010;00:00:01;282559;82.36;81.9;81.7;82.57
10/11/2010;00:00:01;212683;81.93;82.31;81.34;82.37
10/12/2010;00:00:01;307227;82.31;81.79;81.62;82.32
10/13/2010;00:00:01;273533;81.79;81.74;81.65;82.01
10/14/2010;00:00:01;347905;81.74;81.58;80.84;81.74
10/15/2010;00:00:01;282203;81.58;81.43;80.85;81.63
10/18/2010;00:00:01;298907;81.43;81.14;81.08;81.5
10/19/2010;00:00:01;342814;81.14;81.45;81.1;81.93
10/20/2010;00:00:01;299484;81.45;81.09;80.81;81.48
10/21/2010;00:00:01;361980;81.09;81.27;80.87;81.84
10/22/2010;00:00:01;270879;81.27;81.36;80.96;81.52
10/25/2010;00:00:01;313743;81.31;80.77;80.37;81.46
10/26/2010;00:00:01;326703;80.8;81.4;80.57;81.66
10/27/2010;00:00:01;361624;81.41;81.57;81.32;81.99
10/28/2010;00:00:01;302249;81.58;80.93;80.82;81.71
10/29/2010;00:00:01;313417;80.92;80.32;80.3;81.08
11/01/2010;00:00:01;258817;80.29;80.58;80.2;81.15
11/02/2010;00:00:01;268876;80.58;80.64;80.43;80.97
11/03/2010;00:00:01;290791;80.63;81.06;80.56;81.61
11/04/2010;00:00:01;318034;81.06;80.78;80.54;81.23
11/05/2010;00:00:01;298387;80.78;81.26;80.58;81.48
11/08/2010;00:00:01;285577;81.26;81.09;80.96;81.45
11/09/2010;00:00:01;339913;81.09;81.57;80.49;81.97
11/10/2010;00:00:01;370303;81.58;82.22;81.52;82.81
11/11/2010;00:00:01;281403;82.22;82.42;81.99;82.61
